"name" "value"
"Basari" "Patrilocal"
"Kabre" "Patrilocal"
"Birifor" "Patrilocal"
"Moba" "Patrilocal"
"Somba" "Patrilocal"
"Tem" "Patrilocal"
"Bisa" "Patrilocal"
"Yalunka" "Patrilocal"
"Futajalonke" "Patrilocal"
"Bozo" "Patrilocal"
"Coniagui" "Matrilocal"
"Malinke" "Patrilocal"
"Katab" "Patrilocal"
"Chawai" "Patrilocal"
"Basa" "Patrilocal"
"Basakomo" "Patrilocal"
"Dakakari" "Patrilocal"
"Kamuku" "Patrilocal"
"Reshe" "Patrilocal"
"Angas" "Patrilocal"
"Birom" "Patrilocal"
"Burmawa" "Patrilocal"
"Adara" "Patrilocal"
"Jukun" "Patrilocal"
"Kagoro" "Patrilocal"
"Kurama" "Patrilocal"
"Yergum" "Patrilocal"
"Jibu" "Matrilocal"
"Kentu" "Patrilocal"
"Tigon" "Patrilocal"
"Ndoro" "Matrilocal"
"Zuande" "Patrilocal"
"Chamba" "Patrilocal"
"Daka" "Matrilocal"
"Tiv" "Patrilocal"
"Longuda" "Matrilocal"
"Mumuye" "Patrilocal"
"Vere" "Patrilocal"
"Yungur" "Patrilocal"
"Bata" "Patrilocal"
"Bura" "Patrilocal"
"Gude" "Patrilocal"
"Hwana" "Patrilocal"
"Kapsiki" "Patrilocal"
"Podokwo" "Patrilocal"
"Mambila" "Patrilocal"
"Margi" "Patrilocal"
"Gure" "Matrilocal"
"Mafa" "Patrilocal"
"Bafute" "Patrilocal"
"Anaguta" "Patrilocal"
"Banda" "Patrilocal"
"Otoro" "Patrilocal"
"Mangbetu" "Patrilocal"
"Fali" "Patrilocal"
"Laka" "Patrilocal"
"Mbum" "Patrilocal"
"Mundang" "Patrilocal"
"Namshi" "Patrilocal"
"Gisiga" "Patrilocal"
"Kotoko" "Patrilocal"
"Musgu" "Patrilocal"
"Nyaro" "Patrilocal"
"Tupuri" "Patrilocal"
"Bagirmi" "Patrilocal"
"Sara" "Patrilocal"
"Bwaka" "Patrilocal"
"Mandja" "Patrilocal"
"Mbandja" "NA"
"Ngbandi" "Patrilocal"
"Abarambo" "Patrilocal"
"Popoi" "Patrilocal"
"Lendu" "Patrilocal"
"Azande" "Patrilocal"
"Lese" "Patrilocal"
"Logo" "Patrilocal"
"Lugbara" "Patrilocal"
"Madi" "Patrilocal"
"Moru" "Patrilocal"
"Bongo" "Patrilocal"
"Jur" "Patrilocal"
"Koalib" "Patrilocal"
"Korongo" "Matrilocal"
"Mesakin" "Matrilocal"
"Ingassana" "Ambilocal"
"Moro" "Patrilocal"
"Tira" "Patrilocal"
"Tullishi" "Patrilocal"
"Nyimang" "Patrilocal"
"Anuak" "Patrilocal"
"Meban" "Patrilocal"
"Koma" "Patrilocal"
"Mao" "Patrilocal"
"Mamvu" "Patrilocal"
"Shilluk" "Patrilocal"
"Gbaya" "Patrilocal"
"Dilling" "Patrilocal"
"Masa" "Patrilocal"
"Teso" "Patrilocal"
"Acholi" "Patrilocal"
"Dinka" "Patrilocal"
"Lotuko" "Patrilocal"
"Pojulu" "Patrilocal"
"Kakwa" "Patrilocal"
"Kuku" "Patrilocal"
"Mondari" "Patrilocal"
"Alur" "Patrilocal"
"Bodi" "NA"
"Didinga" "Patrilocal"
"Maasi" "Patrilocal"
"Suri" "Patrilocal"
"Jie" "Patrilocal"
"Labwor" "NA"
"Plains Suk" "Patrilocal"
"Toposa" "Patrilocal"
"Keyu" "Patrilocal"
"Hill Suk" "Patrilocal"
"Sapei" "Patrilocal"
"Tatoga" "Patrilocal"
"Samburu" "Patrilocal"
"Nuer" "NA"
"Karamojong" "Patrilocal"
"Pari" "Patrilocal"
"Lango" "Patrilocal"
"Turkana" "Patrilocal"
"Luo" "Patrilocal"
"Nandi" "Patrilocal"
"Bari" "Patrilocal"
"Kipsigis" "Patrilocal"
"Konso" "Neolocal"
"Esa" "Patrilocal"
"Arusi" "Patrilocal"
"Gibe" "Patrilocal"
"Macha" "Patrilocal"
"Burji" "Patrilocal"
"Darasa" "Patrilocal"
"Sidama" "Patrilocal"
"Tsamai" "Patrilocal"
"Arbore" "Patrilocal"
"Banna" "Patrilocal"
"Somali" "Patrilocal"
"Galab" "Patrilocal"
"Hamar" "Patrilocal"
"Male" "Patrilocal"
"Bako" "Patrilocal"
"Dime" "Patrilocal"
"Shangama" "Patrilocal"
"Ubamer" "Patrilocal"
"Anfillo" "Patrilocal"
"Basketo" "Patrilocal"
"Yem" "Patrilocal"
"Tigrinya" "Patrilocal"
"Kafa" "Patrilocal"
"Beta Israel" "Patrilocal"
"Nara" "Neolocal"
"Kunama" "Neolocal"
"Ababda" "Patrilocal"
"Amarar" "Patrilocal"
"Beni-Amer" "Patrilocal"
"Blin" "Patrilocal"
"Tigre" "Patrilocal"
"Jimma" "Patrilocal"
"Iraqw" "Patrilocal"
"Baditu" "Patrilocal"
"Dorse" "Patrilocal"
"Shako" "Patrilocal"
"Hadendowa" "Patrilocal"
"Bisharin" "Patrilocal"
"Afar" "Patrilocal"
"Amhara" "NA"
"Gurage" "Patrilocal"
"Goroa" "Patrilocal"
"Maguzawa" "Patrilocal"
"Karekare" "Patrilocal"
"Midobi" "NA"
"Gimma" "Patrilocal"
"Habbaniya" "Patrilocal"
"Hemat" "Patrilocal"
"Messiria Humr" "Patrilocal"
"Shuwa" "Patrilocal"
"Fur" "Neolocal"
"Kanembu" "Patrilocal"
"Kanuri" "Patrilocal"
"Wolof" "Patrilocal"
"Zerma" "NA"
"Djafun" "Patrilocal"
"Liptako" "Patrilocal"
"Tukulor" "Patrilocal"
"Wodaabe Fulani" "Patrilocal"
"Tazarawa" "Patrilocal"
"Zazzagawa Hausa" "Patrilocal"
"Bachama" "Patrilocal"
"Dera" "Patrilocal"
"Ngizim" "Patrilocal"
"Songhai" "Patrilocal"
"Hasania" "Patrilocal"
"Buduma" "Patrilocal"
"Tera" "Patrilocal"
"Bolewa" "Patrilocal"
"Bororo Fulani" "Patrilocal"
"Hausa Kanawa" "Patrilocal"
"Regeibat" "Patrilocal"
"Asben" "Patrilocal"
"Azjer" "NA"
"Ifora" "Patrilocal"
"Udalan Tuareg" "Matrilocal"
"Daza" "Patrilocal"
"Drawa" "NA"
"Chaambra" "Patrilocal"
"Delim" "Patrilocal"
"Kunta" "Patrilocal"
"Trarza" "Patrilocal"
