"name" "value"
"Waica" "Ambilocal"
"Witoto" "Patrilocal"
"Paez" "Neolocal"
"Tehuelche" "Patrilocal"
"Guato" "Neolocal"
"Ngoni" "Patrilocal"
"Gisu" "Patrilocal"
"Wute" "Patrilocal"
"Bari" "Patrilocal"
"Tera" "Patrilocal"
"Brazilians" "Neolocal"
"Bulgarians" "Patrilocal"
"Basseri" "Patrilocal"
"Buryat" "Patrilocal"
"Ket" "Patrilocal"
"Minchia" "Patrilocal"
"Oraon" "Patrilocal"
"Kol" "Patrilocal"
"Karen" "Matrilocal"
"Khasi" "Matrilocal"
"Malays" "Patrilocal"
"Siamese" "Neolocal"
"Tagbanua" "Matrilocal"
"Mentaweians" "Patrilocal"
"Murinbata" "Patrilocal"
"Purari" "Patrilocal"
"Gilbert Onotoa" "Patrilocal"
"Manus" "Patrilocal"
"Lifu" "Patrilocal"
"Tokelau (2)" "Matrilocal"
"Hawaiians" "Ambilocal"
"Ingalik" "Matrilocal"
"Tsimshian" "Matrilocal"
"Yuki" "Patrilocal"
"Kutenai" "Patrilocal"
"Sarsi" "Patrilocal"
"Teton" "Patrilocal"
"Fox" "Ambilocal"
"Hasinai" "Matrilocal"
"Natchez" "Patrilocal"
"Timucua" "Matrilocal"
"Jemez" "Neolocal"
"Black Carib" "Neolocal"
"Mam" "Patrilocal"
"Miskito" "Matrilocal"
"Goajiro" "Matrilocal"
"Saramacca" "Matrilocal"
"Yabarana" "Matrilocal"
"Camba" "Neolocal"
"Chibcha" "Patrilocal"
"Alacaluf" "Ambilocal"
"Chamacoco" "Matrilocal"
"Chiriguano" "Patrilocal"
"Apinaye" "Matrilocal"
"Tupinamba" "Matrilocal"
"Ndebele" "Patrilocal"
"Pondo" "Patrilocal"
"Xhosa" "Patrilocal"
"Zulu" "Patrilocal"
"Tswana" "Patrilocal"
"Lovedu" "Patrilocal"
"Pedi" "Patrilocal"
"Lenge" "Patrilocal"
"Ndau" "Patrilocal"
"Shona" "Patrilocal"
"Ambo" "Patrilocal"
"Ngumbi" "Patrilocal"
"Babylonians" "Ambilocal"
"Mutair" "Patrilocal"
"Jordanians" "Patrilocal"
"Lebanese" "Patrilocal"
"Mogh" "Patrilocal"
"Chakma" "Patrilocal"
"Aimol" "Patrilocal"
"Thado" "Patrilocal"
"Angami" "Patrilocal"
"Ao" "Patrilocal"
"Rengama" "Patrilocal"
"Sema" "Patrilocal"
"Mikir" "Patrilocal"
"Palaung" "Patrilocal"
